Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.953846153846154,1,147.41375,-42.84625,146.00375,-41.54375,0.607938931,0.509,3.371,22.28,1.56246,87,2.41464772,0.471,0.521,19.71,1.12104,229
0.869565217391304,1,147.41375,-42.84625,148.10625,-41.52125,0.607938931,0.509,3.371,22.28,1.56246,87,1.109227091,0.486,1.325,20.77,1.1959,188
0.751243781094527,1,147.41375,-42.84625,147.10125,-41.50375,0.607938931,0.509,3.371,22.28,1.56246,87,0.658360305,0.502,1.627,23.27,1.55536,103
0.767857142857143,1,147.41375,-42.84625,147.13375,-41.46875,0.607938931,0.509,3.371,22.28,1.56246,87,0.673991763,0.5,1.834,23.22,1.60661,75
0.962616822429907,1,147.41375,-42.84625,145.21875,-41.46375,0.607938931,0.509,3.371,22.28,1.56246,87,2.018368509,0.492,3.77,19.79,1.40607,167
0.818181818181818,1,147.41375,-42.84625,147.49375,-41.46375,0.607938931,0.509,3.371,22.28,1.56246,87,0.898386145,0.505,1.207,22.58,1.1959,188
0.920792079207921,1,147.41375,-42.84625,145.68375,-41.45375,0.607938931,0.509,3.371,22.28,1.56246,87,2.125094886,0.474,1.464,20.77,1.12104,229
0.62962962962963,1,147.41375,-42.84625,147.11625,-41.44875,0.607938931,0.509,3.371,22.28,1.56246,87,0.583010134,0.498,2.189,23.53,1.6425,53
0.717391304347826,1,147.41375,-42.84625,148.25125,-41.44625,0.607938931,0.509,3.371,22.28,1.56246,87,0.667890954,0.52,3.527,21.76,1.427,151
0.934782608695652,1,147.41375,-42.84625,145.60125,-41.43625,0.607938931,0.509,3.371,22.28,1.56246,87,2.236842105,0.473,1.568,20.32,1.12104,229
0.957446808510638,1,147.41375,-42.84625,145.81125,-41.43625,0.607938931,0.509,3.371,22.28,1.56246,87,1.971621669,0.477,1.517,21.02,1.46485,135
0.963636363636364,1,147.41375,-42.84625,145.35625,-41.41625,0.607938931,0.509,3.371,22.28,1.56246,87,2.115114517,0.487,3.188,20.26,1.40607,167
0.740740740740741,1,147.41375,-42.84625,146.66625,-41.38875,0.607938931,0.509,3.371,22.28,1.56246,87,0.993951182,0.5,1.547,22.61,1.6425,53
0.933333333333333,1,147.41375,-42.84625,145.57625,-41.37125,0.607938931,0.509,3.371,22.28,1.56246,87,2.153307293,0.472,1.882,20.38,1.12104,229
0.779661016949153,1,147.41375,-42.84625,147.32125,-41.37125,0.607938931,0.509,3.371,22.28,1.56246,87,1.024060969,0.499,1.581,22.54,1.6425,53
0.708333333333333,1,147.41375,-42.84625,146.59375,-41.36625,0.607938931,0.509,3.371,22.28,1.56246,87,0.850470713,0.502,2.264,22.91,1.6425,53
0.808823529411765,1,147.41375,-42.84625,146.82625,-41.36625,0.607938931,0.509,3.371,22.28,1.56246,87,0.88753573,0.495,1.827,22.73,1.39813,158
0.973856209150327,1,147.41375,-42.84625,145.01375,-41.32875,0.607938931,0.509,3.371,22.28,1.56246,87,1.955440809,0.484,4.466,20.85,1.40607,167
0.734375,1,147.41375,-42.84625,146.64875,-41.32375,0.607938931,0.509,3.371,22.28,1.56246,87,0.873985155,0.497,2.354,22.67,1.6425,53
0.803921568627451,1,147.41375,-42.84625,146.43875,-41.28625,0.607938931,0.509,3.371,22.28,1.56246,87,0.794571598,0.503,3.281,23.33,1.39813,158
0.979381443298969,1,147.41375,-42.84625,145.60875,-41.28125,0.607938931,0.509,3.371,22.28,1.56246,87,1.685671607,0.487,3.153,20.76,1.39813,158
0.804347826086957,1,147.41375,-42.84625,147.15375,-41.26375,0.607938931,0.509,3.371,22.28,1.56246,87,0.829821417,0.493,2.828,22.8,1.57333,81
0.876288659793814,1,147.41375,-42.84625,147.10875,-41.26125,0.607938931,0.509,3.371,22.28,1.56246,87,1.237440524,0.484,1.515,21.81,1.6425,53
0.786885245901639,1,147.41375,-42.84625,146.60625,-41.25875,0.607938931,0.509,3.371,22.28,1.56246,87,0.679403162,0.497,3.613,23.5,1.6425,53
0.764705882352941,1,147.41375,-42.84625,147.09125,-41.25875,0.607938931,0.509,3.371,22.28,1.56246,87,0.993518894,0.488,2.253,22.22,1.6425,53
0.776119402985075,1,147.41375,-42.84625,147.10375,-41.25875,0.607938931,0.509,3.371,22.28,1.56246,87,1.170683584,0.485,1.709,21.91,1.6425,53
0.877551020408163,1,147.41375,-42.84625,147.10625,-41.25875,0.607938931,0.509,3.371,22.28,1.56246,87,1.210863208,0.484,1.599,21.97,1.6425,53
0.74,1,147.41375,-42.84625,147.16125,-41.25875,0.607938931,0.509,3.371,22.28,1.56246,87,0.794421767,0.493,2.992,22.72,1.57333,81
0.695652173913043,1,147.41375,-42.84625,146.89375,-41.21625,0.607938931,0.509,3.371,22.28,1.56246,87,0.829341794,0.483,3.397,22.72,1.54741,131
0.763440860215054,1,147.41375,-42.84625,148.20375,-41.19375,0.607938931,0.509,3.371,22.28,1.56246,87,0.991316877,0.49,3.872,21.35,1.1959,188
0.91,1,147.41375,-42.84625,146.54375,-41.18625,0.607938931,0.509,3.371,22.28,1.56246,87,0.67005816,0.495,3.924,23.78,1.427,151
0.717391304347826,1,147.41375,-42.84625,146.93625,-41.12875,0.607938931,0.509,3.371,22.28,1.56246,87,0.876122561,0.478,3.566,21.31,1.6425,53
0.977777777777778,1,147.41375,-42.84625,147.59625,-41.08875,0.607938931,0.509,3.371,22.28,1.56246,87,0.707009001,0.505,4.147,23.63,1.63292,68
0.754716981132076,1,147.41375,-42.84625,145.92375,-41.08125,0.607938931,0.509,3.371,22.28,1.56246,87,0.841798558,0.499,4.636,23.19,1.39813,158
0.772727272727273,1,147.41375,-42.84625,145.95625,-41.06625,0.607938931,0.509,3.371,22.28,1.56246,87,0.858947573,0.494,4.509,23,1.39813,158
0.958762886597938,1,147.41375,-42.84625,145.52625,-41.00375,0.607938931,0.509,3.371,22.28,1.56246,87,1.292684125,0.489,4.448,22.57,1.43196,159
0.847533632286996,1,147.41375,-42.84625,147.38375,-40.98625,0.607938931,0.509,3.371,22.28,1.56246,87,0.655370479,0.499,4.618,23.72,1.63292,68
0.924528301886792,1,147.41375,-42.84625,144.66875,-40.95125,0.607938931,0.509,3.371,22.28,1.56246,87,1.072609302,0.483,6.431,23.31,1.22153,122
0.977777777777778,1,147.41375,-42.84625,145.03375,-40.91375,0.607938931,0.509,3.371,22.28,1.56246,87,1.096510339,0.51,5.195,23.01,1.39813,158
0.80952380952381,1,147.41375,-42.84625,148.13625,-40.86875,0.607938931,0.509,3.371,22.28,1.56246,87,0.60739221,0.462,6.663,23.3,1.63292,68
0.886010362694301,1,147.41375,-42.84625,144.71125,-40.86125,0.607938931,0.509,3.371,22.28,1.56246,87,1.035251172,0.478,6.479,22.97,1.22153,122
0.931972789115646,1,147.41375,-42.84625,144.83125,-40.72875,0.607938931,0.509,3.371,22.28,1.56246,87,0.896088944,0.49,6.608,23.8,1.22153,122
0.873949579831933,1,147.41375,-42.84625,148.17125,-40.53625,0.607938931,0.509,3.371,22.28,1.56246,87,0.574496295,0.447,6.685,23.22,1.49105,127
0.866666666666667,1,147.41375,-42.84625,147.87875,-40.31375,0.607938931,0.509,3.371,22.28,1.56246,87,0.563120051,0.459,6.418,23.81,1.49105,127
0.900826446280992,1,147.41375,-42.84625,147.75875,-40.06125,0.607938931,0.509,3.371,22.28,1.56246,87,0.585979066,0.452,6.533,24.22,1.49105,127
0.551515151515152,1,147.40375,-42.83625,147.18125,-42.82625,0.626867908,0.508,3.196,22.03,1.5612,103,0.764272735,0.509,2.249,21.85,1.18117,176
0.627329192546584,1,147.40375,-42.83625,147.32625,-42.82625,0.626867908,0.508,3.196,22.03,1.5612,103,0.580732974,0.51,3.339,22.27,1.5612,103
0.618320610687023,1,147.40375,-42.83625,147.17875,-42.82125,0.626867908,0.508,3.196,22.03,1.5612,103,0.75638232,0.509,2.229,21.68,1.18117,176
0.612244897959184,1,147.40375,-42.83625,147.16125,-42.81875,0.626867908,0.508,3.196,22.03,1.5612,103,1.077017359,0.495,1.712,20.92,1.18117,176
0.56390977443609,1,147.40375,-42.83625,147.68125,-42.79875,0.626867908,0.508,3.196,22.03,1.5612,103,0.72434497,0.51,3.701,21.48,1.5612,103
0.970802919708029,1,147.40375,-42.83625,145.96875,-42.78125,0.626867908,0.508,3.196,22.03,1.5612,103,3.771342015,0.449,0.969,16.69,1.38581,152
0.978260869565217,1,147.40375,-42.83625,146.63125,-42.77875,0.626867908,0.508,3.196,22.03,1.5612,103,1.782947394,0.485,0.758,19.78,1.18117,176
0.538461538461538,1,147.40375,-42.83625,147.28625,-42.76125,0.626867908,0.508,3.196,22.03,1.5612,103,0.527914314,0.515,3.082,23.23,1.5612,103
0.6,1,147.40375,-42.83625,147.01875,-42.75625,0.626867908,0.508,3.196,22.03,1.5612,103,0.570750611,0.517,1.655,23.08,1.61695,79
0.698924731182796,1,147.40375,-42.83625,147.47125,-42.73375,0.626867908,0.508,3.196,22.03,1.5612,103,0.540430028,0.516,3.114,22.61,1.49819,70
0.576271186440678,1,147.40375,-42.83625,147.08125,-42.71625,0.626867908,0.508,3.196,22.03,1.5612,103,0.74190611,0.509,1.487,21.56,1.56869,103
0.634782608695652,1,147.40375,-42.83625,147.74375,-42.70875,0.626867908,0.508,3.196,22.03,1.5612,103,0.859497991,0.503,2.975,20.41,1.31624,166
0.654135338345865,1,147.40375,-42.83625,147.73875,-42.70625,0.626867908,0.508,3.196,22.03,1.5612,103,0.847947907,0.504,2.999,20.77,1.31624,166
0.578947368421053,1,147.40375,-42.83625,147.73875,-42.70375,0.626867908,0.508,3.196,22.03,1.5612,103,0.846866729,0.504,2.987,21,1.31624,166
0.765625,1,147.40375,-42.83625,147.26625,-42.69375,0.626867908,0.508,3.196,22.03,1.5612,103,0.502142299,0.518,2.7,23.59,1.53221,62
0.655913978494624,1,147.40375,-42.83625,147.55875,-42.69125,0.626867908,0.508,3.196,22.03,1.5612,103,0.665424051,0.512,2.84,21.67,1.6425,53
0.96078431372549,1,147.40375,-42.83625,146.58125,-42.67875,0.626867908,0.508,3.196,22.03,1.5612,103,2.319956151,0.435,-1.109,18.63,1.13133,189
0.825503355704698,1,147.40375,-42.83625,147.27625,-42.67875,0.626867908,0.508,3.196,22.03,1.5612,103,0.505087084,0.518,2.623,23.25,1.53221,62
0.645833333333333,1,147.40375,-42.83625,147.88125,-42.67875,0.626867908,0.508,3.196,22.03,1.5612,103,0.638390791,0.517,4.048,22.32,1.6425,53
1,1,147.40375,-42.83625,146.55875,-42.67125,0.626867908,0.508,3.196,22.03,1.5612,103,2.583045894,0.414,-1.592,18.82,1.13133,189
0.926739926739927,1,147.40375,-42.83625,146.60625,-42.66375,0.626867908,0.508,3.196,22.03,1.5612,103,2.06953421,0.454,-0.645,19.91,1.13133,189
0.593984962406015,1,147.40375,-42.83625,147.58875,-42.66375,0.626867908,0.508,3.196,22.03,1.5612,103,0.841487112,0.499,2.108,21.45,1.6425,53
0.56140350877193,1,147.40375,-42.83625,147.63125,-42.64125,0.626867908,0.508,3.196,22.03,1.5612,103,0.727018895,0.511,2.683,21.96,1.6425,53
0.626016260162602,1,147.40375,-42.83625,147.62125,-42.63375,0.626867908,0.508,3.196,22.03,1.5612,103,0.759109809,0.507,2.435,21.31,1.6425,53
0.585714285714286,1,147.40375,-42.83625,147.61875,-42.63125,0.626867908,0.508,3.196,22.03,1.5612,103,0.764726663,0.507,2.381,20.96,1.6425,53
0.603053435114504,1,147.40375,-42.83625,147.62375,-42.62875,0.626867908,0.508,3.196,22.03,1.5612,103,0.772799052,0.506,2.346,21.51,1.6425,53
0.612903225806452,1,147.40375,-42.83625,147.63625,-42.61875,0.626867908,0.508,3.196,22.03,1.5612,103,0.753191689,0.508,2.437,21.69,1.6425,53
0.729166666666667,1,147.40375,-42.83625,147.79125,-42.59875,0.626867908,0.508,3.196,22.03,1.5612,103,0.614204562,0.518,3.392,22.28,1.61695,79
0.730769230769231,1,147.40375,-42.83625,147.80125,-42.58625,0.626867908,0.508,3.196,22.03,1.5612,103,0.611714889,0.518,3.364,22.29,1.61695,79
0.634782608695652,1,147.40375,-42.83625,147.82875,-42.58375,0.626867908,0.508,3.196,22.03,1.5612,103,0.68830578,0.513,3.154,21.37,1.6425,53
0.5,1,147.40375,-42.83625,147.41125,-42.57875,0.626867908,0.508,3.196,22.03,1.5612,103,0.498801655,0.52,2.425,22.5,1.58424,85
0.688311688311688,1,147.40375,-42.83625,147.82875,-42.56125,0.626867908,0.508,3.196,22.03,1.5612,103,0.595902659,0.518,3.378,22,1.6425,53
0.97979797979798,1,147.40375,-42.83625,146.30875,-42.55625,0.626867908,0.508,3.196,22.03,1.5612,103,2.335840831,0.49,0.433,18.62,1.38581,152
0.63963963963964,1,147.40375,-42.83625,147.86875,-42.55125,0.626867908,0.508,3.196,22.03,1.5612,103,0.610003172,0.517,3.401,21.41,1.6425,53
0.984732824427481,1,147.40375,-42.83625,145.48125,-42.54875,0.626867908,0.508,3.196,22.03,1.5612,103,2.415855355,0.518,4.805,18.72,1.38581,152
0.68695652173913,1,147.40375,-42.83625,147.29875,-42.54125,0.626867908,0.508,3.196,22.03,1.5612,103,0.906774908,0.486,0.386,20.83,1.6425,53
0.508771929824561,1,147.40375,-42.83625,147.31875,-42.52375,0.626867908,0.508,3.196,22.03,1.5612,103,0.625145587,0.51,1.326,22.5,1.56869,103
0.67741935483871,1,147.40375,-42.83625,147.71125,-42.48625,0.626867908,0.508,3.196,22.03,1.5612,103,0.687469821,0.512,2.178,21.68,1.56869,103
0.590551181102362,1,147.40375,-42.83625,147.28375,-42.41125,0.626867908,0.508,3.196,22.03,1.5612,103,0.673949636,0.503,0.461,22.33,1.58424,85
0.956521739130435,1,147.40375,-42.83625,145.63125,-42.35875,0.626867908,0.508,3.196,22.03,1.5612,103,3.295918738,0.516,3.21,16.83,1.40607,167
0.531645569620253,1,147.40375,-42.83625,147.88625,-42.35875,0.626867908,0.508,3.196,22.03,1.5612,103,0.620661501,0.515,2.414,22.26,1.6425,53
0.785123966942149,1,147.40375,-42.83625,146.96875,-42.31625,0.626867908,0.508,3.196,22.03,1.5612,103,0.570405207,0.52,-0.022,23,1.62184,64
0.813559322033898,1,147.40375,-42.83625,147.92125,-42.23125,0.626867908,0.508,3.196,22.03,1.5612,103,0.638924692,0.51,1.775,20.99,1.6425,53
0.683168316831683,1,147.40375,-42.83625,147.99375,-42.20375,0.626867908,0.508,3.196,22.03,1.5612,103,0.635130773,0.514,2.239,22.32,1.6425,53
0.655737704918033,1,147.40375,-42.83625,147.83125,-42.17125,0.626867908,0.508,3.196,22.03,1.5612,103,0.597829933,0.511,1.24,22.6,1.6425,53
0.965217391304348,1,147.40375,-42.83625,146.16875,-42.15125,0.626867908,0.508,3.196,22.03,1.5612,103,2.242868277,0.495,-0.203,19.73,0.828696,168
0.765957446808511,1,147.40375,-42.83625,148.04625,-42.13625,0.626867908,0.508,3.196,22.03,1.5612,103,0.518574215,0.527,3.453,22.48,1.6425,53
0.795918367346939,1,147.40375,-42.83625,147.84125,-42.12875,0.626867908,0.508,3.196,22.03,1.5612,103,0.608659515,0.512,1.191,22.77,1.6425,53
0.951612903225806,1,147.40375,-42.83625,146.21125,-42.12625,0.626867908,0.508,3.196,22.03,1.5612,103,1.925935353,0.499,-0.208,20.47,0.828696,168
0.766871165644172,1,147.40375,-42.83625,147.36375,-42.08875,0.626867908,0.508,3.196,22.03,1.5612,103,0.437438587,0.523,0.783,23.48,1.55536,103
0.686274509803922,1,147.40375,-42.83625,147.95875,-42.07375,0.626867908,0.508,3.196,22.03,1.5612,103,0.530766635,0.525,2.479,21.4,1.6425,53
0.686274509803922,1,147.40375,-42.83625,147.95625,-42.05625,0.626867908,0.508,3.196,22.03,1.5612,103,0.564052093,0.522,2.106,22.5,1.6425,53
0.696969696969697,1,147.40375,-42.83625,148.26875,-42.05375,0.626867908,0.508,3.196,22.03,1.5612,103,0.626389234,0.526,4.519,22.19,1.59128,77
0.659574468085106,1,147.40375,-42.83625,147.42875,-42.02875,0.626867908,0.508,3.196,22.03,1.5612,103,0.472892679,0.523,0.719,23.34,1.60479,68
0.649484536082474,1,147.40375,-42.83625,147.97125,-42.01875,0.626867908,0.508,3.196,22.03,1.5612,103,0.576132087,0.522,2.041,21.83,1.6425,53
0.609022556390977,1,147.40375,-42.83625,147.96875,-42.01625,0.626867908,0.508,3.196,22.03,1.5612,103,0.60824548,0.519,1.786,21.78,1.6425,53
0.798319327731092,1,147.40375,-42.83625,147.19125,-42.00875,0.626867908,0.508,3.196,22.03,1.5612,103,1.070251241,0.472,-1.321,22.39,1.18117,176
0.779310344827586,1,147.40375,-42.83625,147.93125,-42.00625,0.626867908,0.508,3.196,22.03,1.5612,103,0.579088987,0.52,1.678,22.34,1.6425,53
0.628865979381443,1,147.40375,-42.83625,147.98125,-42.00625,0.626867908,0.508,3.196,22.03,1.5612,103,0.516137171,0.528,2.698,22.94,1.6425,53
0.714285714285714,1,147.40375,-42.83625,147.36375,-41.99875,0.626867908,0.508,3.196,22.03,1.5612,103,0.507341568,0.52,0.507,23.33,1.60479,68
0.608695652173913,1,147.40375,-42.83625,148.14125,-41.99625,0.626867908,0.508,3.196,22.03,1.5612,103,0.567469181,0.529,3.929,22.68,1.6425,53
0.721739130434783,1,147.40375,-42.83625,147.83125,-41.97375,0.626867908,0.508,3.196,22.03,1.5612,103,0.843322515,0.501,0.398,22.23,1.18117,176
0.982608695652174,1,147.40375,-42.83625,145.84625,-41.97125,0.626867908,0.508,3.196,22.03,1.5612,103,3.747420924,0.468,0.037,17.14,1.11188,180
0.712,1,147.40375,-42.83625,147.83125,-41.97125,0.626867908,0.508,3.196,22.03,1.5612,103,0.845421852,0.501,0.393,22.23,1.18117,176
0.757575757575758,1,147.40375,-42.83625,147.43375,-41.96375,0.626867908,0.508,3.196,22.03,1.5612,103,0.473628554,0.524,0.839,23.17,1.55491,90
0.779661016949153,1,147.40375,-42.83625,148.23375,-41.96375,0.626867908,0.508,3.196,22.03,1.5612,103,0.628240656,0.528,4.424,21.78,1.59128,77
0.92,1,147.40375,-42.83625,148.22125,-41.96125,0.626867908,0.508,3.196,22.03,1.5612,103,0.598712559,0.53,4.563,22.28,1.59128,77
0.975903614457831,1,147.40375,-42.83625,145.83125,-41.95875,0.626867908,0.508,3.196,22.03,1.5612,103,3.959794527,0.455,-0.243,17.08,1.11188,180
0.912280701754386,1,147.40375,-42.83625,145.48125,-41.91875,0.626867908,0.508,3.196,22.03,1.5612,103,3.929412971,0.48,1.762,15.57,1.40607,167
0.822784810126582,1,147.40375,-42.83625,147.84625,-41.90625,0.626867908,0.508,3.196,22.03,1.5612,103,1.224993261,0.471,-0.132,20.75,1.18117,176
0.753846153846154,1,147.40375,-42.83625,148.14875,-41.85625,0.626867908,0.508,3.196,22.03,1.5612,103,0.698484345,0.523,2.831,21.74,1.6425,53
0.668449197860963,1,147.40375,-42.83625,148.09875,-41.84875,0.626867908,0.508,3.196,22.03,1.5612,103,0.659877452,0.523,2.46,21.66,1.6425,53
0.736842105263158,1,147.40375,-42.83625,148.25875,-41.84625,0.626867908,0.508,3.196,22.03,1.5612,103,0.65155397,0.529,4.614,21.75,1.6425,53
0.742690058479532,1,147.40375,-42.83625,148.24875,-41.82125,0.626867908,0.508,3.196,22.03,1.5612,103,0.6281469,0.531,4.628,21.37,1.6425,53
0.706293706293706,1,147.40375,-42.83625,147.24125,-41.81875,0.626867908,0.508,3.196,22.03,1.5612,103,0.509808567,0.52,1.086,23.62,1.55536,103
0.745098039215686,1,147.40375,-42.83625,147.32125,-41.80875,0.626867908,0.508,3.196,22.03,1.5612,103,0.52031365,0.52,1.043,23.27,1.55536,103
0.807692307692308,1,147.40375,-42.83625,146.91125,-41.80625,0.626867908,0.508,3.196,22.03,1.5612,103,0.984410513,0.515,-0.045,22.05,1.18117,176
0.779816513761468,1,147.40375,-42.83625,147.33375,-41.79375,0.626867908,0.508,3.196,22.03,1.5612,103,0.556628767,0.518,0.853,23.08,1.6425,53
0.957446808510638,1,147.40375,-42.83625,145.62875,-41.77125,0.626867908,0.508,3.196,22.03,1.5612,103,2.78022411,0.498,2.085,17.66,1.11188,180
0.964912280701754,1,147.40375,-42.83625,146.70125,-41.74875,0.626867908,0.508,3.196,22.03,1.5612,103,1.969582141,0.442,-2.131,21.12,1.13133,189
0.689320388349515,1,147.40375,-42.83625,147.46375,-41.73375,0.626867908,0.508,3.196,22.03,1.5612,103,0.537942251,0.519,1.079,23.2,1.55536,103
1,1,147.40375,-42.83625,145.75125,-41.72875,0.626867908,0.508,3.196,22.03,1.5612,103,3.36604349,0.46,0.306,17.63,1.11188,180
0.728,1,147.40375,-42.83625,146.92625,-41.72375,0.626867908,0.508,3.196,22.03,1.5612,103,0.760598878,0.516,0.489,22.79,1.55536,103
0.759562841530055,1,147.40375,-42.83625,147.25375,-41.71625,0.626867908,0.508,3.196,22.03,1.5612,103,0.597932829,0.514,0.961,23.28,1.6425,53
0.864661654135338,1,147.40375,-42.83625,146.66125,-41.70875,0.626867908,0.508,3.196,22.03,1.5612,103,1.131289659,0.51,-0.029,21.92,1.18117,176
0.819672131147541,1,147.40375,-42.83625,146.71125,-41.70875,0.626867908,0.508,3.196,22.03,1.5612,103,1.687688497,0.477,-1.355,20.82,1.18117,176
0.962264150943396,1,147.40375,-42.83625,145.94875,-41.70375,0.626867908,0.508,3.196,22.03,1.5612,103,3.599653768,0.425,-1.001,18.03,1.11188,180
0.900990099009901,1,147.40375,-42.83625,145.97125,-41.69625,0.626867908,0.508,3.196,22.03,1.5612,103,2.989569386,0.459,-0.231,18.8,1.11188,180
0.828947368421053,1,147.40375,-42.83625,147.24625,-41.68625,0.626867908,0.508,3.196,22.03,1.5612,103,0.5501076,0.514,1.287,23.51,1.55536,103
0.81651376146789,1,147.40375,-42.83625,147.27125,-41.68125,0.626867908,0.508,3.196,22.03,1.5612,103,0.544537383,0.514,1.345,23.52,1.55536,103
0.669064748201439,1,147.40375,-42.83625,146.82375,-41.67875,0.626867908,0.508,3.196,22.03,1.5612,103,0.927946779,0.513,0.176,21.43,1.18117,176
0.673469387755102,1,147.40375,-42.83625,148.23125,-41.67125,0.626867908,0.508,3.196,22.03,1.5612,103,1.023908636,0.512,2.458,20.09,1.6425,53
0.870967741935484,1,147.40375,-42.83625,148.18375,-41.66375,0.626867908,0.508,3.196,22.03,1.5612,103,1.023322126,0.497,1.608,21.1,1.18117,176
0.869565217391304,1,147.40375,-42.83625,146.70625,-41.64625,0.626867908,0.508,3.196,22.03,1.5612,103,1.680555556,0.493,-0.528,20.59,1.18117,176
0.870967741935484,1,147.40375,-42.83625,145.94625,-41.63875,0.626867908,0.508,3.196,22.03,1.5612,103,2.93851171,0.46,-0.002,18.4,1.11188,180
0.730769230769231,1,147.40375,-42.83625,147.47125,-41.60375,0.626867908,0.508,3.196,22.03,1.5612,103,0.646756956,0.514,1.154,23.11,1.55536,103
0.688888888888889,1,147.40375,-42.83625,148.22125,-41.56375,0.626867908,0.508,3.196,22.03,1.5612,103,0.973288154,0.509,2.381,20.1,1.1959,188
0.838709677419355,1,147.40375,-42.83625,145.93875,-41.56125,0.626867908,0.508,3.196,22.03,1.5612,103,2.680603508,0.466,0.411,19.55,1.11188,180
0.847826086956522,1,147.40375,-42.83625,145.93125,-41.55375,0.626867908,0.508,3.196,22.03,1.5612,103,2.740192195,0.462,0.342,19.05,1.11188,180
0.722222222222222,1,147.40375,-42.83625,146.33375,-41.55125,0.626867908,0.508,3.196,22.03,1.5612,103,1.247250206,0.509,1.688,21.51,1.38016,163
0.865671641791045,1,147.40375,-42.83625,146.00375,-41.54375,0.626867908,0.508,3.196,22.03,1.5612,103,2.41464772,0.471,0.521,19.71,1.12104,229
0.875,1,147.40375,-42.83625,148.10625,-41.52125,0.626867908,0.508,3.196,22.03,1.5612,103,1.109227091,0.486,1.325,20.77,1.1959,188
0.736585365853659,1,147.40375,-42.83625,147.10125,-41.50375,0.626867908,0.508,3.196,22.03,1.5612,103,0.658360305,0.502,1.627,23.27,1.55536,103
0.780701754385965,1,147.40375,-42.83625,147.13375,-41.46875,0.626867908,0.508,3.196,22.03,1.5612,103,0.673991763,0.5,1.834,23.22,1.60661,75
0.873873873873874,1,147.40375,-42.83625,145.21875,-41.46375,0.626867908,0.508,3.196,22.03,1.5612,103,2.018368509,0.492,3.77,19.79,1.40607,167
0.798816568047337,1,147.40375,-42.83625,147.49375,-41.46375,0.626867908,0.508,3.196,22.03,1.5612,103,0.898386145,0.505,1.207,22.58,1.1959,188
0.885714285714286,1,147.40375,-42.83625,145.68375,-41.45375,0.626867908,0.508,3.196,22.03,1.5612,103,2.125094886,0.474,1.464,20.77,1.12104,229
0.678571428571429,1,147.40375,-42.83625,147.11625,-41.44875,0.626867908,0.508,3.196,22.03,1.5612,103,0.583010134,0.498,2.189,23.53,1.6425,53
0.729166666666667,1,147.40375,-42.83625,148.25125,-41.44625,0.626867908,0.508,3.196,22.03,1.5612,103,0.667890954,0.52,3.527,21.76,1.427,151
0.854166666666667,1,147.40375,-42.83625,145.60125,-41.43625,0.626867908,0.508,3.196,22.03,1.5612,103,2.236842105,0.473,1.568,20.32,1.12104,229
0.897959183673469,1,147.40375,-42.83625,145.81125,-41.43625,0.626867908,0.508,3.196,22.03,1.5612,103,1.971621669,0.477,1.517,21.02,1.46485,135
0.912280701754386,1,147.40375,-42.83625,145.35625,-41.41625,0.626867908,0.508,3.196,22.03,1.5612,103,2.115114517,0.487,3.188,20.26,1.40607,167
0.732142857142857,1,147.40375,-42.83625,146.66625,-41.38875,0.626867908,0.508,3.196,22.03,1.5612,103,0.993951182,0.5,1.547,22.61,1.6425,53
0.893617021276596,1,147.40375,-42.83625,145.57625,-41.37125,0.626867908,0.508,3.196,22.03,1.5612,103,2.153307293,0.472,1.882,20.38,1.12104,229
0.737704918032787,1,147.40375,-42.83625,147.32125,-41.37125,0.626867908,0.508,3.196,22.03,1.5612,103,1.024060969,0.499,1.581,22.54,1.6425,53
0.6,1,147.40375,-42.83625,146.59375,-41.36625,0.626867908,0.508,3.196,22.03,1.5612,103,0.850470713,0.502,2.264,22.91,1.6425,53
0.857142857142857,1,147.40375,-42.83625,146.82625,-41.36625,0.626867908,0.508,3.196,22.03,1.5612,103,0.88753573,0.495,1.827,22.73,1.39813,158
0.936305732484076,1,147.40375,-42.83625,145.01375,-41.32875,0.626867908,0.508,3.196,22.03,1.5612,103,1.955440809,0.484,4.466,20.85,1.40607,167
0.696969696969697,1,147.40375,-42.83625,146.64875,-41.32375,0.626867908,0.508,3.196,22.03,1.5612,103,0.873985155,0.497,2.354,22.67,1.6425,53
0.716981132075472,1,147.40375,-42.83625,146.43875,-41.28625,0.626867908,0.508,3.196,22.03,1.5612,103,0.794571598,0.503,3.281,23.33,1.39813,158
0.900990099009901,1,147.40375,-42.83625,145.60875,-41.28125,0.626867908,0.508,3.196,22.03,1.5612,103,1.685671607,0.487,3.153,20.76,1.39813,158
0.8125,1,147.40375,-42.83625,147.15375,-41.26375,0.626867908,0.508,3.196,22.03,1.5612,103,0.829821417,0.493,2.828,22.8,1.57333,81
0.801980198019802,1,147.40375,-42.83625,147.10875,-41.26125,0.626867908,0.508,3.196,22.03,1.5612,103,1.237440524,0.484,1.515,21.81,1.6425,53
0.698412698412698,1,147.40375,-42.83625,146.60625,-41.25875,0.626867908,0.508,3.196,22.03,1.5612,103,0.679403162,0.497,3.613,23.5,1.6425,53
